ticker,name,node,beta_to_basket,alpha_annual,r2,resid_std_daily,cum_resid_60d,cum_resid_20d,z_resid_60d,z_resid_20d,n_obs
SEI,Solaris Energy Infrastructure,ofs_onshore,0.9768698724987266,0.3564075507032764,0.3327858335036742,0.03407673950286562,0.15679651160373265,0.11467812544036042,0.5940222832778228,0.752501817244957,1254
NBR,Nabors Industries,ofs_onshore,1.4576411261271753,-0.15138903323069874,0.683387259593254,0.02381572387939021,0.16859656191940237,0.037850822863193474,0.9139223590942304,0.35538291153789997,1254
ACDC,ProFrac Holding,ofs_onshore,1.3393304813076228,-0.3648385616299022,0.4005163351920582,0.03795742140386512,0.13953072993299562,0.036867874155948374,0.4745670045784766,0.2171882855831025,997
RES,RPC Inc,ofs_onshore,1.123594221498537,-0.05038343936974622,0.664093335262281,0.01952699466543808,0.1054616482066198,-0.013551929416113894,0.6972419705232716,-0.15518535196993083,1254
PUMP,ProPetro,ofs_onshore,1.2634220410007384,-0.060003326293431074,0.6440146433064233,0.022808464300514655,0.13861556076745973,0.005467772792646264,0.7845855692053468,0.053604273785346566,1254
TTI,TETRA Technologies,ofs_onshore,1.07722997145096,0.11036115486399062,0.4663224606252159,0.02818875099785557,-0.38652601202664566,0.05120865127656998,-1.7702200989903734,0.40621177326800606,1254
CLB,Core Laboratories,ofs_onshore,0.9993002992379786,-0.2983004593495843,0.53233233640464,0.023057608877354085,-0.4334745360560807,-0.296301455821493,-2.427021911479947,-2.873455788816547,1254
CLNE,Clean Energy Fuels,ofs_onshore,0.7587757226771398,-0.36933900839229783,0.2083118839115793,0.0368295348924915,-0.23783508342395981,-0.12089556272911706,-0.8336889762828551,-0.7340051869498587,1254
NGS,Natural Gas Services Group,ofs_onshore,0.5305042851628563,0.24626939140149284,0.23415025753916374,0.024235000376781984,-0.042084984717773374,-0.022351341605018782,-0.22418601527164894,-0.20622702059053016,1254
FLOC,Flowco Holdings,ofs_onshore,0.7813428097400748,-0.3439505447849391,0.3146733440290248,0.02773250935647113,0.031307660124502125,0.07911853203298522,0.1457423664916511,0.6379315107468564,326
NOV,NOV Inc,ofs_equipment,0.875702421070536,-0.17785567730546023,0.645398061753752,0.015897340846011583,0.060366345920067316,0.09448353284891714,0.49022423453180497,1.3289744759892854,1254
FTI,TechnipFMC,ofs_equipment,0.8190028009149051,0.28855582569976446,0.5607995345538743,0.017871856828398563,0.11893951691888992,0.027966502261763074,0.8591734902084286,0.3499076830720526,1254
WFRD,Weatherford International,ofs_equipment,0.901770740425207,0.30059190174657013,0.4458292115676381,0.024374320726622736,-0.08855932534395229,0.06406629639021275,-0.46905757368636974,0.5877357379592275,1254
WHD,Cactus Inc,ofs_equipment,0.9015602469448264,-0.13002182012389782,0.6025657647059943,0.017783841032428496,-0.09490460036562297,0.06890320782627221,-0.6889474102253504,0.8663609637895006,1254
FET,Forum Energy Technologies,ofs_equipment,0.7794441234841906,0.012169358015298355,0.37681119742801794,0.024705545813808186,0.11608154235726939,-0.05943969976843647,0.6065869902787835,-0.5379812704648566,1254
